docid	charname	charid	gender	pubdate	words
coo.31924002447229	BrotherEpstein	coo.31924002447229|BrotherEpstein	m	1949	hurried knew had proceeded blocked asked suggested said drew replied continued went raised were began pick oughta sees fared started coped received addressed heading stood helped said said said continued said handed brought said said continued pockets heart brother mother pigeons burden progress way years ears brain heart hand eyes head encounter luck resourcefulness protector head concepts was-came was-reflected was-sent was-made was-following was-sees was-thought was-forget was-sends was-know was-asked said-whatever said-talking said-sounded said-easily said-frightened said-young said-ever said-idea said-meet said-violence said-hands said-public said-servants said-ourselves said-heard said-thing said-sergeant said-o'leary said-orders said-show said-extreme said-patience said-case said-yes said-extreme said-patience said-mean said-count said-least said-fifty said-fan said-ass said-give said-big said-sol said-quite said-workout said-also said-possibly said-kid said-brother said-district said-attorney said-wants said-take said-whole said-crowd said-looking said-put said-steam said-roller said-live said-mother said-proposition said-propositions said-feller said-traveled said-took said-pa. said-caught said-poor said-doing said-five said-years said-scram said-mister said-spare said-price said-cuppa said-coffee said-cough said-medicine said-years said-district said-attorney said-ih said-need said-shapiro said-pieces said-appear said-fit said-together said-perfectly said-shapiro said-suggestions said-handling said-shaheen said-matter said-believe said-meet said-approval said-sir said-certainly said-look said-pinpointed said-find said-page said-top said-file said-quite said-properly said-hard-earned said-money said-hated said-maybe said-brother said-speaking said-money said-wexler said-sit said-splendid said-hand said-union said-treasury said-gilkie said-dumbest said-juror said-interlocking said-labor said-racketeer said-underworld said-gangster said-officer said-prisoner said-sit said-oh said-wait said-minute said-papers said-wexler said-believe said-chance said-rowley said-means said-paper said-signed said-maybe said-word said-sir said-use said-getting said-upset said-wexler said-glass said-swept said-once said-sir said-pane said-put said-sorry said-mess said-gilkie said-dutch said-take said-books said-sir
coo.31924002447229	Fay	coo.31924002447229|Fay	m	1949	turned continued held studied sensed asked made pleaded clear lodge return throat steerer was-asked was-want said-bunko said-steerer said-guess
coo.31924002447229	DommiePastoriza	coo.31924002447229|DommiePastoriza	u	1949	moved looked were continued marker was-claimed was-know was-instructed said-sol said-sit said-maybe said-want said-holler said-business
coo.31924002447229	HansDeger	coo.31924002447229|HansDeger	m	1949	asked pointed said urged pointing ilk comrades appearance employer joke busy said-youse said-communist said-done
coo.31924002447229	Gilkie	coo.31924002447229|Gilkie	m	1949	did grinned do have had forget sat continued contemplate get continued paused turned said replied snatched appears concluded seems dismissed said grabs has said emitted remarked continued laughed sneered muttered nodded said see nodded said said thinks putting told was replied detected tells cut lodge sits overriding pulling mean hurry put said replied paid said taken think grumbled removed turned said chuckled stopped asked began beamed going knowing continued snapped agreed said going spared have replied answered paused hoped expressing said continued belched said said denied shown passed said beamed said said laughed stood gulped took lacked had leaned replied said continued said added disliked snorted get says said bowed said recognised repeated held replied drew contributed leaned removed called said said said said growled added added unwound scalping puffed mused grunted snarled said growled glanced persuaded sitting had got said said continued scalped feeling welcomed stepped called snapped came continued ai snarled stopped cupped was snarled growled threw cried twisted paused continued nodded added replied continued said blew thinking felt asked began joined said explained made felt turned loved had told thought is going say did pronunciamento mobsters racketeers mob mob mob presence point heart history ear left ear hair spot room work subject desk shipment voice bit lawyer intercession office train consent mob prestige bodyguards pocket glass respects friends mouth money tracks voice pride in-laws wife indiscretions failings attitude silence interests repute way words martini coattails attention titling protection mob prestige canvassers nails bills mind pledge head hand hoop orders cigar words drivers son desk hand requests chair guest directive regulars head mob cigar hand share eyes perimeter campaign assets stalwarts position number effectiveness rights headquarters suites suntan home secretary suite appearance hands voice suite head mouth cigar cigar family permission mind suite rooms feet conten mob headquarters baggage dough boss more york short ability exception averse familiar was-thought was-clean was-have was-connecting was-swallow was-paying was-licked was-stood was-answered was-outa was-growled was-asked was-inquired was-educated was-got was-asked was-continued was-replied was-got was-contact was-flanked was-remarked was-counted was-robbed was-tell was-laughed was-grumbled was-snarled was-replied was-asked was-guffawed was-added was-shrugged was-asked was-replied was-chiding was-get was-grinned was-snorted was-roared was-sunk was-opposed was-added was-snapped was-smash was-subjected was-tell was-nodded was-interfere was-snarled was-forgotten was-laughed was-replied was-asked was-gone was-seated was-heard was-growled was-shrugged was-demanded was-continued was-answered was-asked was-cried was-pushed was-send was-save was-take said-regular said-place said-why said-glad said-hear said-people said-maybe said-help said-long said-ai said-line said-dommie said-ai said-bad said-feller said-show said-handle said-kind said-put said-union said-take said-shop said-telling said-sol said-later said-place said-humming said-move said-expansion said-started said-simple said-waste said-money said-treasury said-gentlemen said-undergarment said-workers said-union said-ahold said-schlemiel said-klemper said-grabs said-shake said-outa said-flat said-sol said-mean said-maybe said-straight said-marker said-telling said-skiptown said-money said-want said-market said-something said-alley said-gilkie said-likewise said-yours said-colonel said-sister said-likewise said-fine said-southern said-family said-married said-chief said-police said-north said-sad said-part said-somebody said-listening said-baker said-sure said-people said-talk said-lettem said-talk said-talk said-president said-garbo said-mayor said-personality said-goin said-pretty said-light said-business said-guys said-shops said-smart said-stay said-line said-able said-keep said-nothin said-outa said-line said-buy said-somethin' said-kid said-hell said-gilkie said-anyhow said-er said-hennessy said-dame said-ai said-hurt said-nobody said-remember said-married said-nate said-dip said-nobody said-im said-put said-bite said-goi said-figured said-mcnamarra said-running said-stiff said-game said-same said-town said-cleaned said-deal said-pay said-hotel said-care said-ever said-give said-except said-kick said-stomach said-lay said-likewise said-yours said-why said-easier said-state said-town said-gilkie said-guarantee said-title said-why said-long said-pay said-cops said-politicians said-city said-seems said-pose said-dilemma said-individual said-consider said-city said-appoints said-certain said-stalwarts said-enforce said-call said-law said-next said-fails said-pay said-enforcement said-officers said-decent said-wage said-lastly said-exposes said-temptation said-handsome said-sum said-side said-result said-seem said-inevitable said-shapiro said-keep said-smooth said-exactel said-want said-gilkie said-conferences said-during said-year said-found said-rigid said-co-operative said-certainly said-understanding said-possibly said-tolerant said-yes said-definitely said-tolerant said-open said-jump said-care said-shapiro said-also said-horse said-heavy said-ride said-o.k. said-o.k. said-stop said-sol said-want said-smash said-labor said-person said-careful said-sempken said-because said-maybe said-cost said-cent said-business said-money said-strikebreaking said-guys said-expensive said-labor said-market said-also said-need said-lot said-guys said-best said-also said-maybe said-take said-nuh said-hey said-sol said-canvass said-gilkie said-sempken said-middle said-also said-nice said-paying said-proposition said-added said-sempken said-gave said-grand said-crippled said-bad said-split said-five said-hunnert said-maybe said-shut said-nice said-shut said-irish said-kid said-irish said-kid said-threw said-rock said-kick said-cop said-face said-crust said-big said-hochstapler said-shut said-figure said-pay said-work said-territory said-likewise said-cut said-lot said-guys said-sempken said-seventy-five said-thousand said-give said-bonus said-along said-line said-although said-awful said-crack said-across said-belly said-shapiro said-muffle said-rowley said-hot said-knows said-call said-hotel said-home said-answer said-shut said-sol said-yuh said-better said-step said-gilkie said-mad said-waitin said-manhasset said-hotel said-windbag said-getting said-hochstapler said-showoff said-conceit said-maybe said-sol said-cut said-gilkie said-ai said-cut said-sol said-consideration said-financially said-rowley said-sends said-lousy said-brother said-epstein said-nerve said-final said-fifty said-thousand said-cash said-line said-why said-call said-meeting said-happens said-late said-afternoon said-d.a. said-carry said-around said-fifty said-thousand said-dollars said-gambler said-ai said-money said-sol said-because said-squeeze said-ta said-move said-money said-around said-shapiro said-pills said-something said-doctor said-mchugh said-noives said-because said-plenty said-loosening said-money said-cut said-back said-part said-forty said-thousand said-union said-gives said-gilkie said-guess said-likewise said-taking said-forty said-grand said-hunnert said-fourteen said-thousand said-dollars said-left said-union said-treasury said-longer said-treasurer said-sure said-sol said-president said-ai said-treasurer said-declaring said-handle said-union said-explain said-want said-president said-hear said-shapiro said-legal said-also said-understand said-shut said-remember said-long said-ago said-take said-shop said-green said-done said-plenty said-work said-labor said-movement said-forget said-take said-union said-behind said-hunnert said-per said-cent said-confidence said-complete
coo.31924002447229	Epstein	coo.31924002447229|Epstein	m	1949	shifted took yawned yawned sat thinking leaning said looked noticed said replied continued nodded said asked nodded added beamed put removed is come come does entered seated returned alighted go failed yelled flung flung said said opened 's looked looked inquired opened stared cigarette face eyes capacities eyes head hair brother heart coffee mouth cup tricks duties friends position brother desk eyes brows mummy was-added was-replied was-having was-cried was-feed was-roused was-sign was-sent said-why said-accident said-brother said-helpful said-duty said-citizen said-also said-guard said-constitutional said-rights said-correct said-epstein said-told said-sir said-size said-elder said-brother said-moe said-known said-wall said-street said-moe said-epstein said-drunk said-indeed said-north said-smeared said-father-in-law said-meyer said-pearlman said-ai said-funny
coo.31924002447229	O'Leary	coo.31924002447229|O'Leary	m	1949	was panted thinking seated said looked said muttered grated went said said cried said said passed face charges way guest mien jowls colour voice was-wheezed said-along said-fine said-start said-beginning said-telling said-called said-listen said-kid said-answer said-lot said-questions said-want said-answers said-o.k. said-o.k. said-beat said-around said-head said-till said-hey
coo.31924002447229	Mr.Hubert	coo.31924002447229|Mr.Hubert	m	1949	seemed had had found had fancied contended disavowed giving intoned realised turned waved cried cried reflected replied was was doodled said leave talking says meant laughed suggested witnessed knew feel absorbing felt stumbled ordered reasoned dismissed said continued sighed replied interposed indulging stood quivered screamed stood said intoned paused seemed noted hoped lost suggested mused felt felt deserved buttered said sipped suggested drummed found replied continued answered chatting found seemed scanning said felt said ventured said said did prophesied said murmured said suggested said spoke said was choked chuckled turned threw known said took continued sneered verbosity back life patron association guest checks girth affinity powers head table hospitality thought companions martini guess re-entrance whole feet hands face mouth head poise martini chiefs statement days love part ego fingers cigar greetings hand address listeners hands pockets head in-laws ph.d. ready man interested impatient nice allergic sure averse was-shut was-questioned was-fed was-informed was-bored was-known was-went was-restore was-cried was-mused was-continued was-replied was-added was-continued was-commented was-added was-joined was-interrupted was-asking said-spieler said-find said-biblical said-mouthings said-wit said-revolting said-pious said-prattle said-judge said-mellon said-recall said-sired said-why said-least said-appealing said-labor said-leaders said-refer said-communist said-son said-bitch said-bridges said-result said-understandable said-anger said-memory said-floating said-sweat said-shops said-once said-called said-american said-clippers said-bioff said-counterpart said-phase said-american said-industry said-seems said-idea said-gilkie said-gilkie said-obviously said-ascertain said-statistical said-furthermore said-numbers said-important said-call said-key said-group said-crucial said-group said-welded said-homogeneous said-body said-persuasion said-really said-problem said-once said-gilkie said-sits said-overriding said-commission said-seem said-union said-name said-outstanding said-dignity said-morticians said-conveyors said-union said-turn said-thing said-thank said-thank said-grateful said-mercies said-quiet said-possible said-foul said-idiocies said-dinned said-ears said-american said-people said-possible said-future said-country said-countenance said-propaganda said-false said-hitler said-hypocritical said-stalin said-hitler said-sol said-miscast said-role said-husband said-certainly said-earned said-gratitude said-loyalty said-city said-fathers said-wears said-blue said-uniform said-vou said-generous said-constabulary said-lot said-happy said-profession said-itself said-absolutely said-necessary said-hit said-head said-oar said-boat said-rowing said-lake said-pleasure said-tribute said-gilkie said-succeeded said-exception said-few said-bellicose said-dissenters said-keeping said-city said-big said-productive said-happy said-family said-fall said-wayside said-course said-everybody said-hide said-toughened said-politics said-play said-along said-game said-class said-keen said-spirit said-wo said-picture said-shapiro said-carries said-ball said-assuredly said-wily said-allegorical said-talking said-serpent said-coil said-around said-rowley said-seduction said-chill said-figure said-wins said-enough said-shake said-faith said-human said-nature said-rowley said-pinned said-ethical said-hopes said-afraid said-poor said-impression said-american said-justice said-try said-picture said-dust said-settled said-sol said-pulled said-strike said-untoward said-incidents said-yes said-nevertheless said-settled said-quite said-favorably said-sol said-emerges said-effective said-possibly said-heroic said-leader said-labor said-gilkie said-persuaded said-sempken said-settle said-seventy-five said-thousand said-dollars said-nice said-windfall said-place said-wistful said-quality said-spoke said-minor said-irish said-poet said-probably said-happy said-anyway said-unfortunate said-officer said-shaheen said-also said-wrong said-endeavor said-type said-thinking said-belongs said-priesthood said-nothing said-accomplished said-singing said-coronach said-longer said-accomplished said-advantage said-omelette said-breaking said-eggs said-according said-hennessy said-police said-taking said-tiresome said-attitude said-since said-shaheen said-matter said-shocking said-hypocrisy said-block said-system said-worked said-effectiveness said-various said-groups said-different-color said-shirts said-throughout said-totalitarian said-countries said-wexler said-hammer said-people said-line said-quickly said-understand said-benefits said-offered said-according said-shapiro said-habit said-constant said-touch said-shapiro said-checked said-room said-hotel said-moment said-desk said-locate said-timely said-wexler said-gilkie said-permission said-word said-business said-meeting said-purely said-simply said-bringing said-histrionics said-bernhardt said-realize said-emotions said-bad said-anger said-perhaps said-worst said-nothing said-complicated said-stubborn said-burnt said-cigars said-places said-hardly said-expect said-enjoy said-least said-wexler said-transact said-business said-d.a. said-gilkie said-mind said-send said-ride said-same said-people said-gilkie said-history said-american said-labor said-movement said-writing said-soon said-shows said-limitless said-opportunity said-wexler said-also said-limitless said-money
coo.31924002447229	Klemper	coo.31924002447229|Klemper	u	1949	snapped weighed explained had held was-give was-continued was-tell said-idea said-union said-big said-expenses said-ai said-organized
coo.31924002447229	MissHattieMuff	coo.31924002447229|MissHattieMuff	f	1949	handed rushed shrilled turned demanded whispered dabbing 'm conferrin eyes head name rich was-ai was-suppose said-chief said-arrest said-arrest
coo.31924002447229	Liebman&Traub	coo.31924002447229|Liebman&Traub	m	1949	done said had stashed take work know knows knows father years piety father lady able was-reminded was-took was-took was-tell said-momma
coo.31924002447229	Thompson	coo.31924002447229|Thompson	m	1949	prefers prefers rigged gave got says tries doing wants office granddaddy telegram was-got
coo.31924002447229	Charlie	coo.31924002447229|Charlie	m	1949	commented felt trying pick snapped turned conversing muttered walked cried continued murmured murmured kill slipped had had gives 's looked caught had tried said continued returned pleaded suggested growled said explored added clutched din want exchanged is mused was suggested presented said said nodded took queried called glowered waved joining made tended notice scratched suggested said nodded work wrestled headed covered said countenance paused suspended have said did was says having ministered sold sewed touted agreed remarked commented charged proving toilers beaming give do going was realised muttered sounds said replied take proved stormed ordered sent seemed cried dragged filed slapped cried cried replied replied looked wished famed works replied is take snapped said said reported said paid played said cried shifted made had shouted saw realised realised sensed fell grabbed urged demurred added propelled shacked feel been wanted gave get trembling sobbing stumbled moaned mumbled pocket mind brother burden head parents youth years money debacle session friend voice pockets head friend stay voice departure voice conveyance there pockets arrival roll size trade elbows post shoes head organisation appearance pulpit congregation work case clients hair arm attention partner adversary nails friend idea skill chagrin kinsman sedan chain feet chair capabilities right chums ear ears friend ego life seat heels friend honour hands hideout clothes shirt necktie face tranquil sure approach satellite man thorn dresser absent disappointed gent extrovert was-forced was-relieving was-known was-kill was-shrugged was-asked was-murmured was-choked was-give was-replied was-grinned was-cried was-cried was-asked was-murmured was-cried was-queried was-letting was-decided was-demanded was-demanded was-demanded was-asked was-know was-misgiving was-sat was-absorbed was-got was-got was-inquired was-answered was-cut was-replied was-tell was-got was-pick was-cried was-stimulate was-prepared was-find was-robbed was-demanded was-demanded was-growled was-escaped was-urging was-seeing was-grabbed was-led was-call was-sobbed was-sobbed said-rye said-ai said-nothing said-lose said-mind said-sick said-sol said-happened said-night said-oh said-sure said-drunk said-telling said-take said-shot said-nice said-work said-sol said-trouble said-dommie said-pastoriza said-marker said-ai said-worth said-damn said-better said-gurfein said-herring said-cold said-beers said-save said-enough said-coffee said-carfare said-money said-tomorrow said-ta said-wad said-hurry said-why said-give said-schlemiel said-klemper said-union said-play said-ai said-nothing said-idea said-help said-treat said-father said-treats said-child said-sometimes said-rough said-kid said-uncle said-living said-beat said-unconscious said-broom said-handle said-hurt said-maybe said-found said-because said-run said-next said-day said-guys said-run said-ta said-back said-work said-catch said-union said-thing said-raises said-wages said-also said-thing said-because said-piece said-business said-sol said-addresses said-shops said-unionize said-shake said-hands said-president said-started said-ourselves said-stake said-sure said-tap said-parties said-tip said-fact said-oh said-war said-southern said-americans said-once said-talk said-getta said-bum said-look said-sol said-hell said-send said-ai said-bums said-north said-sol said-use said-hanging said-around said-feel said-fresh said-daisy said-started said-back said-sure said-cawn said-licker said-cousins said-ai said-klan said-anti-mockie said-outfit said-sol said-yes said-valuable said-property said-sick said-sol said-front said-page said-drunken said-sailors said-zipfel said-plenty said-guess said-sol said-stuff said-sol said-beating said-figure said-mostly said-mohair said-gave said-pair said-brass said-knuckles said-sol said-different said-carrying said-age said-sure said-pretty said-soon said-besides said-diver said-orter said-getta said-break said-son said-dannemora said-three-year said-stretch said-need said-stake said-feller said-chance said-job said-next said-surprise said-big said-boy said-real said-genuine said-idea said-sempkens said-using said-horses said-dig said-horseshoe said-hymie said-works said-delahanty said-pass said-poolroom said-horse said-enough said-nag said-mirror said-night said-club said-yeh said-feel said-lot said-better said-gilkie said-phone said-ta said-call said-away said-quick said-im said-wait said-ta said-fast said-sol said-mean said-fast said-kinda said-hate said-leave said-back said-soon said-gilkie said-quiet said-fellers said-hold said-sol said-sol said-done said-stretch said-sol said-sol said-alone said-done said-because said-ai said-whore
coo.31924002447229	Shapiro	coo.31924002447229|Shapiro	m	1949	taking had took said added paused said made said replied rising shepherded tells got take done flattened ai brought disapproved felt thrust gestured was gone felt whispered murmured patting said murmured provided does said says says agreed added said said murmured finished took asked opened patted began continued said replied said does opened said replied pondered replied says said continued clucked asked murmured nodded snarled strode growled wearing pleaded finished begged pleaded murmured commented said stared said said ran said gulped said glanced said said turned wondered hustled put laboured showed gasped commented gathered paused paused continued get was said nodded agreed nodded said says come told had said taking take said 's call gets gets have make has settle got gone sailed was pay makes saw wanted turned made buying found stack position pleas rap detractors hand client hand pocket hand time intellectual artists mother report brow forehead hand jaw contract instructions chief ties clothes credit wish adam bob fingers lips suggestions words chair office face mouth responsibility chair chair hands lap trains enemy dealings room hotel age way files information evidence lawyer unaffected mouthpiece simple was-hit was-sat was-tell was-need was-done was-pay was-suggested was-nodded was-added was-tied was-calmed was-replied was-sent was-see was-locate was-want was-gone was-help was-buying was-made was-need said-mommer said-brought said-enjoy said-gefilte said-fish said-potato said-salad said-nice said-sure said-mrs. said-pearlman said-wish said-elderly said-lady said-held said-find said-nothing said-big said-heart said-generosity said-forgiveness said-sake said-worked said-nice said-send said-mommer said-home said-taxi said-stay said-glass said-something said-forget said-cheer said-paying said-alimony said-lose said-deals said-begrudge said-fine said-abundant said-life said-whole said-problem said-matter said-keep said-status said-quo said-citizens said-live said-together said-harmoniously said-irritability said-friction said-envy said-anger said-entering said-picture said-according said-appears said-newspapers said-perhaps said-seems said-smoky said-stuffy said-fortunate said-dealings said-d.a. said-office said-despite said-tub-thumpings said-public said-newspapers said-shrieking said-hand said-laid said-gilkie said-anyone said-around said-amounts said-anything said-course said-nobodies said-johnny-come-latelies said-riding said-gilkie said-coattails said-nabbed said-thought said-wiser said-allow said-responsibility said-placed said-squarely said-shoulders said-ai said-rowley said-talked said-miracle said-shapiro said-rowley said-close said-eye said-bet said-nobody said-handle said-gilkie said-half said-union said-free said-give said-bust said-face said-schwartzyoor said-rowley said-hold said-deaths said-month said-regrettable said-rowley said-exacting said-night said-ask said-young said-bring said-glass said-cold said-water said-thank said-gone said-shapiro said-supreme said-court said-case said-sewed said-yelling said-lynch said-victim said-maybe said-better said-take said-aspirins said-along said-anyhow said-gilkie said-clear said-o.k. said-rowley said-agrees said-outlined said-night said-orient said-brief said-recapitulation said-policeman said-killed said-press said-screaming said-public said-arms said-mean said-business said-really said-want said-immediate said-act said-law said-enforcement said-gives said-sense said-security said-also said-want said-victim said-human said-nature said-want said-sacrifice said-conveniently said-shoved said-gilkie said-nothing said-murmured said-big said-sol said-stool said-pigeon
coo.31924002447229	EddieBaker	coo.31924002447229|EddieBaker	m	1949	boasted beaten laughed laughed grinned were continued know walked had sign said stood tittered alias charge trial name union way way believer loose was-saw was-fit was-know was-putting was-welcomed was-identified was-send said-workers said-want said-headquarters said-join said-union said-move said-sol said-o.k.
coo.31924002447229	ArthurJacobs	coo.31924002447229|ArthurJacobs	m	1949	be remembered said retelling knew knew had doing get preferred shook answered unleashing felt was foot audience head chief was-honoured was-recognising was-rated said-mrs. said-nahm
coo.31924002447229	HalseyDurand	coo.31924002447229|HalseyDurand	m	1949	said said echoed remarked returning action subordinate was-getting was-stood said-organist said-seems said-running said-repertoire said-note said-back said-jacobs said-bond said-end said-perfect said-day
coo.31924002447229	ForrestVernon	coo.31924002447229|ForrestVernon	m	1949	appeared had drawled took drew lit passed yell roared rejoined began reported continued went took turned said duties face teeth vest footsteps men supporters head throat thumb hand man said-tip said-why said-pay said-carry said-room said-lugged said-station said-look said-place said-take said-easy said-comfortable said-gurfein said-business said-sure said-glad said-gentlemen said-welcome said-friends said-kinsman said-colonel said-fine said-gentieman said-owner said-nefarious said-place said-wexler said-ih said-request said-hundred said-fifty said-dollars said-adamant said-suh said-somewhat said-surprised said-view said-fact said-distant said-cousins
